Nome do Jogo,Classificação de Usuários,Vendas Globais,Lançamento no Brasil,Idade Recomendada,Preço,Gênero_Aventura,Gênero_Ação,Gênero_Esportes,Gênero_Puzzle,Gênero_RPG,Plataforma_Mobile,Plataforma_PC,Plataforma_PlayStation,Plataforma_Switch,Plataforma_Xbox
Jogo_495,4.60929722196421,0.01580709757819621,0,3.0,0.07021795002371933,0,1,0,0,0,0,0,1,0,0
Jogo_786,5.061659207364454,0.009694361206976072,0,15.0,0.03263215983454465,0,1,0,0,0,1,0,0,0,0
Jogo_86,5.501880097616166,0.038065913823594394,1,11.0,0.08793556875109768,0,0,0,0,1,0,0,1,0,0
Jogo_725,3.5627830497532567,0.03077231076707549,0,16.0,0.1573737546922284,0,1,0,0,0,0,0,0,0,1
Jogo_979,4.19146196992497,0.01170850781247806,0,5.0,0.00594560203917369,0,0,0,1,0,1,0,0,0,0
Jogo_982,5.501880097616166,0.03678475980561557,0,4.0,0.08783714778248984,0,0,0,1,0,0,0,0,0,1
Jogo_616,6.544472618197426,0.04864689952309019,1,7.0,0.013119924242205521,0,1,0,0,0,0,0,1,0,0
Jogo_262,8.748079125836831,0.03210952917689602,1,11.0,0.058474510434574786,0,0,0,1,0,1,0,0,0,0
Jogo_893,6.73226498857885,0.005254008104053455,1,12.0,0.11803235831766201,0,0,0,1,0,0,1,0,0,0
Jogo_383,5.857341955255224,0.04210663111038772,0,4.0,0.07744249721626445,0,0,1,0,0,1,0,0,0,0
Jogo_3,6.632024821823874,0.03480620554244815,0,9.0,0.00935867133970109,0,0,1,0,0,0,0,1,0,0
Jogo_636,2.348040287775416,0.02260260210876551,0,17.0,0.09436973934010098,0,0,0,1,0,1,0,0,0,0
Jogo_74,6.620677462847501,0.017950176690529746,1,5.0,0.013550639965383176,0,0,0,1,0,0,0,1,0,0
Jogo_630,5.421596221516072,0.00046514734443370753,1,11.0,0.1241280552752066,1,0,0,0,0,0,0,0,1,0
Jogo_295,7.666916192950774,0.026240605842028236,1,11.0,0.030167534421306482,0,0,0,1,0,0,0,1,0,0
Jogo_932,6.610147691984358,0.04706281175067596,0,3.0,0.14066243060553107,0,0,1,0,0,0,1,0,0,0
Jogo_283,2.8256497998592,0.006057116384007715,0,16.0,0.12831300122766648,0,0,1,0,0,0,0,0,1,0
Jogo_124,5.965986939421303,0.04447761545424451,0,12.0,0.08190393702480839,0,0,1,0,0,0,0,0,1,0
Jogo_615,6.743695356722433,0.024907532638305977,1,13.0,0.04311640615710381,0,0,1,0,0,0,1,0,0,0
Jogo_619,3.662518095899424,0.009619465017589465,0,7.0,0.11889890770631262,0,0,1,0,0,1,0,0,0,0
Jogo_785,1.8965974039148827,0.016134264830002108,0,10.0,0.06787557914462322,1,0,0,0,0,0,0,1,0,0
Jogo_152,5.698647097446332,0.01659982458622889,0,16.0,0.11945103621252492,0,0,1,0,0,0,0,1,0,0
